goalie,period,x,y,shotType,target,goalProb
8475683,3,50.0,28.0,Slap Shot,0,0.062
8478406,1,62.0,29.0,Snap Shot,0,0.037
8478406,1,61.0,3.0,Tip-In,0,0.089
8480382,1,0.0,30.0,Snap Shot,0,0.016
8480382,1,60.0,34.0,Wrist Shot,0,0.029
8480382,1,29.0,-4.0,Slap Shot,0,0.043
8480382,1,55.0,14.0,Snap Shot,0,0.069
8478406,1,39.0,-17.0,Slap Shot,0,0.035
8478406,1,80.0,-1.0,Wrist Shot,1,0.228
8480382,1,50.0,24.0,Wrist Shot,0,0.025
8478406,1,40.0,26.0,Slap Shot,0,0.027
8480382,1,58.0,30.0,Snap Shot,0,0.037
8478406,1,47.0,17.0,Snap Shot,0,0.036
8480382,1,42.0,0.0,Slap Shot,0,0.045
8480382,1,-55.0,1.0,Snap Shot,0,0.024
8480382,1,59.0,-9.0,Snap Shot,1,0.089
8478406,1,34.0,19.0,Slap Shot,0,0.035
8480382,1,83.0,-17.0,Snap Shot,0,0.077
8478406,1,50.0,-16.0,Wrist Shot,0,0.062
8480382,1,66.0,-16.0,Snap Shot,0,0.121
8480382,1,45.0,2.0,Snap Shot,0,0.073
8478406,1,48.0,-21.0,Snap Shot,0,0.032
8480382,1,39.0,-10.0,Snap Shot,0,0.03
8480382,1,52.0,16.0,Wrist Shot,0,0.043
8478406,1,56.0,28.0,Snap Shot,0,0.037
8480382,2,84.0,7.0,Snap Shot,0,0.194
8478406,2,85.0,-7.0,Wrap-around,0,0.096
8480382,2,75.0,14.0,Wrist Shot,1,0.172
8478406,2,86.0,-23.0,Wrist Shot,0,0.036
8480382,2,46.0,-13.0,Slap Shot,0,0.062
8480382,2,63.0,30.0,Snap Shot,0,0.042
8478406,2,57.0,-2.0,Snap Shot,0,0.088
8478406,2,53.0,19.0,Snap Shot,0,0.056
8478406,2,69.0,-14.0,Snap Shot,0,0.106
8478406,2,61.0,31.0,Wrist Shot,0,0.044
8478406,2,70.0,25.0,Snap Shot,0,0.094
8478406,2,61.0,29.0,Slap Shot,0,0.071
8480382,2,55.0,21.0,Snap Shot,0,0.056
8478406,2,54.0,-22.0,Wrist Shot,0,0.042
8480382,2,77.0,1.0,Tip-In,1,0.175
8478406,2,-11.0,-25.0,Snap Shot,0,0.022
8478406,2,68.0,5.0,Wrist Shot,0,0.16
8480382,2,77.0,9.0,Backhand,0,0.145
8478406,2,76.0,4.0,Tip-In,0,0.183
8478406,2,54.0,-18.0,Wrist Shot,0,0.044
8478406,2,63.0,30.0,Wrist Shot,0,0.031
8480382,2,54.0,-1.0,Wrist Shot,0,0.073
8480382,2,49.0,20.0,Snap Shot,0,0.036
8478406,2,67.0,-15.0,Backhand,0,0.082
8478406,3,68.0,9.0,Snap Shot,0,0.14
8478406,3,83.0,9.0,Snap Shot,1,0.179
8480382,3,68.0,0.0,Tip-In,0,0.184
8480382,3,57.0,-14.0,Wrist Shot,0,0.107
8480382,3,29.0,-11.0,Wrist Shot,0,0.031
8480382,3,57.0,-6.0,Snap Shot,0,0.121
8478406,3,69.0,0.0,Snap Shot,0,0.183
8478406,3,59.0,-16.0,Snap Shot,0,0.11
8480382,3,-88.0,-10.0,Wrist Shot,0,0.018
8480382,3,41.0,27.0,Slap Shot,0,0.024
8480382,3,57.0,19.0,Wrist Shot,0,0.057
8480382,3,59.0,25.0,Snap Shot,0,0.079
8480382,3,39.0,-7.0,Slap Shot,0,0.056
8480382,3,41.0,-9.0,Slap Shot,0,0.056
8480382,3,62.0,19.0,Wrist Shot,1,0.075
8480382,3,72.0,-5.0,Wrist Shot,0,0.133
8480382,3,52.0,22.0,Wrist Shot,0,0.045
8478406,3,63.0,-19.0,Snap Shot,0,0.078
8478406,3,69.0,19.0,Backhand,0,0.088
8480382,3,55.0,14.0,Wrist Shot,0,0.063
8478406,1,69.0,23.0,Wrist Shot,0,0.11
8478406,1,70.0,7.0,Snap Shot,0,0.171
8478406,1,81.0,-4.0,Snap Shot,0,0.232
8478406,1,69.0,11.0,Snap Shot,0,0.138
8477967,1,74.0,6.0,Snap Shot,0,0.21
8477967,1,43.0,9.0,Snap Shot,0,0.035
8477967,1,80.0,-14.0,Snap Shot,0,0.108
8477967,1,50.0,31.0,Snap Shot,0,0.021
8477967,1,53.0,22.0,Wrist Shot,0,0.066
8477967,1,52.0,-3.0,Snap Shot,0,0.092
8477967,1,72.0,-16.0,Wrist Shot,1,0.135
8477967,1,34.0,-6.0,Snap Shot,0,0.029
8478406,1,83.0,-8.0,Snap Shot,0,0.18
8478406,1,52.0,-21.0,Wrist Shot,0,0.042
8478406,2,53.0,-16.0,Snap Shot,0,0.074
8478406,2,70.0,18.0,Snap Shot,0,0.099
8477967,2,57.0,17.0,Snap Shot,0,0.069
8477967,2,35.0,21.0,Slap Shot,0,0.052
8477967,2,78.0,-6.0,Snap Shot,0,0.239
8477967,2,49.0,8.0,Slap Shot,0,0.108
8478406,2,65.0,37.0,Snap Shot,0,0.04
8478406,2,63.0,32.0,Wrist Shot,0,0.045
8477967,2,76.0,1.0,Snap Shot,0,0.225
8478406,2,78.0,-27.0,Snap Shot,0,0.038
8477967,2,81.0,3.0,Backhand,0,0.203
8478406,2,-60.0,32.0,Slap Shot,0,0.018
8477967,2,56.0,29.0,Slap Shot,0,0.068
8477967,2,79.0,3.0,Snap Shot,0,0.26
8477967,2,80.0,-18.0,Wrist Shot,0,0.07
8478406,2,69.0,2.0,Snap Shot,0,0.184
8477967,2,80.0,3.0,Backhand,0,0.192
8478406,2,47.0,-3.0,Wrist Shot,0,0.066
8478406,2,79.0,3.0,Snap Shot,0,0.255
8478406,2,52.0,19.0,Slap Shot,0,0.105
8478406,2,74.0,-12.0,Snap Shot,0,0.179
8478406,2,54.0,-22.0,Slap Shot,0,0.07
8478406,2,77.0,-26.0,Snap Shot,0,0.047
8478406,2,46.0,26.0,Slap Shot,0,0.029
8477967,3,48.0,-18.0,Wrist Shot,0,0.027
8477967,3,73.0,-24.0,Snap Shot,0,0.066
8477967,3,80.0,10.0,Snap Shot,0,0.206
8478406,3,37.0,-23.0,Slap Shot,0,0.032
8478406,3,54.0,-30.0,Wrist Shot,0,0.024
8477967,3,-61.0,-2.0,Backhand,0,0.021
8478406,3,74.0,-24.0,Snap Shot,0,0.087
8477967,3,74.0,7.0,Snap Shot,0,0.178
8478406,3,84.0,7.0,Snap Shot,0,0.194
8477967,3,44.0,-14.0,Wrist Shot,0,0.027
8478406,3,37.0,29.0,Wrist Shot,0,0.019
8478406,1,41.0,31.0,Snap Shot,0,0.02
8477293,1,60.0,16.0,Snap Shot,0,0.087
